name,website,address,postal_code,city,province,phone,lat,lng
Clínica Dental Angel Sanromá Saumell,,Carrer CARDENAL VIVES 1,08700,Igualada,Barcelona,938052326,41.5777,1.623455
Multident Igualada,http://multident.es/,Carrer LLEIDA 34,08700,Igualada,Barcelona,938067566,41.58209,1.626814
Clínica Dental Molins,https://cdmolins.net/,Passeig Immaculada Concepció 20,08786,Capellades,Barcelona,938012151,41.529509,1.683561
Clínica Dental Sánchez Hero,,Carrer Rogelio Rojo 14,08783,Masquefa,Barcelona,645623174,41.500977,1.814007
Mirasol Centre Dental Implantològic,https://www.centremirasol.com/,Avinguda Vilanova del Camí 2A,08700,Igualada,Barcelona,938040217,41.576491,1.629066
Vitaldent Igualada,https://clinicas.vitaldent.com/barcelona/clinica-dental-vitaldent-igualada-91/,Rambla Sant Isidre 37,08700,Igualada,Barcelona,938047597,41.579467,1.61782
La Moreneta Clínica Dental,https://lamorenetadental.com/,Carrer del Molí 1,08788,Vilanova del Camí,Barcelona,938044703,41.573318,1.638154
Clínica Dental Adeslas Igualada,https://www.adeslasdental.es/clinicas/barcelona/igualada,Rambla General Vives 10-12,08700,Igualada,Barcelona,658486866,41.579229,1.619421
Clínica Dental Balmes,https://www.dentalbalmes.com/,Avinguda Balmes 61-69,08700,Igualada,Barcelona,938052969,41.586675,1.61395
Clínica Dental Capitán,https://www.clinicacapitan.com/,Carrer del Portal 24,08786,Capellades,Barcelona,659951166,41.52799,1.687371
Clínica Dental Dr. Carmona,,Carretera de Valls 6,08710,Santa Margarida de Montbui,Barcelona,938044853,41.577734,1.607238
Clínica Dental Escuelas,,Carrer Escoles 23,08710,Santa Margarida de Montbui,Barcelona,938043510,41.575417,1.607372
Centre Dental Montbui,,Carretera de Valls 26,08710,Santa Margarida de Montbui,Barcelona,938068454,41.575699,1.607862
Clínica Dental Anoia,https://clinicadentalanoia.com/,Carrer CAPELLADES 37,08700,Igualada,Barcelona,938051563,41.585216,1.62413
Centre Dental i Salut Integral Alta Segarra,,Carrer Raval Sant Jaume 35,08280,Calaf,Barcelona,938681307,41.732043,1.514894
Instituts Odontològics Igualada,https://ioa.es/clinicas/clinica-dental-igualada/,Rambla Sant Isidre 19,08700,Igualada,Barcelona,935480205,41.579543,1.617124
ATTME-GEUNA,,Carrer FLORENCI VALLS 48,08700,Igualada,Barcelona,938045111,41.583312,1.623157
Clínica Dental Drs. Osés-Ustrell,,Passeig VERDAGUER 107,08700,Igualada,Barcelona,938042111,41.579912,1.624727
Clínica Dental Dra. Juana Triana,,Carrer Industria 53,08784,Piera,Barcelona,937788503,41.522655,1.753814
Clínica Multident Piera,https://multidentpiera.es,Carrer Piereta 1,08784,Piera,Barcelona,937761696,41.522675,1.751717
Clínica Dental Igualada (Sari Su SL),,Rambla SANT ISIDRE 19,08700,Igualada,Barcelona,938040751,41.579543,1.617124
Clínica Dental BPR,,Carrer Sant Carles 33,08700,Igualada,Barcelona,938067868,41.580081,1.621002
Clínica Dental Vilà,https://clinicadentalvila.com/,Carrer San Josep 25,08788,Vilanova del Camí,Barcelona,938043298,41.572824,1.638852
Clínica Dental Torre Romeu,,Carrer Església 61,08781,Els Hostalets de Pierola,Barcelona,931883515,41.535811,1.768122
+Salut Dental (Dr. Sergi Torné),http://salutdental.cat/,Avinguda BALMES 30,08700,Igualada,Barcelona,938039232,41.583289,1.611688
Marcè & Sagarra Centre Dental,https://www.marcesagarracentredental.com/,Avinguda MESTRE MONTANER 51,08700,Igualada,Barcelona,938067904,41.586734,1.616656
Clínica Dental Masquefa (Olga Zharova),,Avinguda DE LA LINIA 7,08783,Masquefa,Barcelona,937729256,41.499125,1.816189
DC Dent Igualada,http://www.dcdentigualada.com/,Carrer Santa Caterina 18,08700,Igualada,Barcelona,938037699,41.580919,1.615371
Pieradent,https://www.pieradent.com,Carrer LLOBREGAT 7,08784,Piera,Barcelona,937794094,41.521438,1.751539
Clínica Dental Dentnova,,Carrer MAJOR 82,08786,Capellades,Barcelona,619074825,41.382397,2.17838
Dentalklinik,,Carrer Nuestra Señora de Montserrat 21,08788,Vilanova del Camí,Barcelona,938053113,41.572259,1.635366
Clínica Dental Dra. Casacuberta Bausili,https://www.clinicadentalcasacuberta.com/,Carrer AMISTAT S/N,08710,Santa Margarida de Montbui,Barcelona,938068909,41.577297,1.605775
Clínica Dental Dr. Ernesto Valdés,,Carretera NACIONAL II 18,08784,Piera,Barcelona,934234017,41.531094,1.75509
OdontoClínic Igualada,https://www.odontoclinic.es/clinica-dental-en-igualada/,Carrer SANT CARLES 37,08700,Igualada,Barcelona,938030568,41.579542,1.622183
Boca a Boca,https://bocaaboca.cat/,Passeig Verdaguer 55,08700,Igualada,Barcelona,938040974,41.581295,1.620538
Clínica Dental Santa Clara,,Avinguda de la Línea 14,08783,Masquefa,Barcelona,936323252,41.49919,1.816796
Clínica Dental Mestres Solanas,https://dentalmestres-solanas.com/,Carrer Santa Llúcia 5,08788,Vilanova del Camí,Barcelona,938061130,41.573495,1.639446
Clínica Dental Doctores Berillo,,Carrer Sant Agustí 27,08700,Igualada,Barcelona,640242976,41.579734,1.612106
Clínica Dental Odontus (Dra. Mariño),,Carrer MASQUEFA 26,08700,Igualada,Barcelona,938046206,41.588072,1.612276
Vilanova Dental,https://www.vilanovadental.com/,Carrer Major 70,08788,Vilanova del Camí,Barcelona,938061288,41.571411,1.638449
Clínica Dental Jorba,,Carrer SANT PAU 5,08700,Igualada,Barcelona,938032603,41.579625,1.619559
Impladent Igualada (pasa a ViDental),https://impladents.es/,Carrer Calaf 9,08700,Igualada,Barcelona,650274779,41.586734,1.616656
Clínica Dental Capellades (Olga Zharova),,Carrer ABAT MUNTADES 1,08786,Capellades,Barcelona,938013920,41.528945,1.686816
Dental Verdaguer,https://www.dentalverdaguer.com/,Passeig Mossèn Jacint Verdaguer 106,08700,Igualada,Barcelona,938042111,41.58058,1.621743
Caser Dental Igualada (antes Dental Igualada),,Rambla Sant Isidre 11,08700,Igualada,Barcelona,932499999,41.579578,1.616815
Clínica Dental Sant Agustí,,Avinguda Mestre Montaner 72,08700,Igualada,Barcelona,938030610,41.585955,1.624495
MIPS Fundació Privada - Mútua Igualadina,https://www.mipsfundacio.com/,"Passeig Verdaguer, 114",08700,Igualada,Barcelona,938050404,41.580311,1.623366
Assistencial Anoia (Les Comes + Piera),https://www.assistencialanoia.com/,"Avinguda Països Catalans, 95",08700,Igualada,Barcelona,938046688,41.591509,1.621896
Egnatia Centre Mèdic,,"Carrer Comarca, 8",08700,Igualada,Barcelona,938050356,41.585057,1.610976
Dr. Enrique Zibecchi (consulta Masquefa),https://drzibecchi.com,"Carrer Sant Pere, 14, baixos",08783,Masquefa,Barcelona,937725975,41.501782,1.814333
